SUBURB,Change_Q4_2019,Change_Q1_2020,Change_Q2_2020,Change_Q3_2020
CLAYTON SOUTH,0.057692308,0.01042502,-0.022222222,-0.027597403
DANDENONG,0.039166667,-0.0125,0.012658228,-0.011071429
MERNDA,0.009009009,0.105,-0.040723982,-0.067924528
WARBURTON,0.01010101,0.075949367,0.196764706,-0.122634554
ATTWOOD,-0.117318436,-0.006014562,0.052229299,-0.031476998
SYNDAL,-0.01588785,0.008974359,0.002400113,-0.032394366
FAWKNER,0.017391304,0.01,0.051155116,-0.042386185
SOMERVILLE,-0.020408163,0.052892562,-0.010989011,0.063492063
STRATFORD,-0.101040119,0.03652968,-0.022026432,-0.004504505
BANNOCKBURN,-0.013513514,0.086342229,-0.116088632,0.013623978
CHELTENHAM EAST,0.021925134,0.150306748,0.082133333,-0.117792016
EAGLEMONT,-0.093941078,0.028846154,-0.020934579,-0.012027491
LEOPOLD,0,-0.014252336,-0.06257407,0.00505689
AVONDALE HEIGHTS,0.07,0.027500674,-0.017318289,0.028037383
DIAMOND CREEK,-0.04283871,0.05227807,-0.079787234,0.14566474
WARRANWOOD,-0.104012036,0.093535076,-0.056603774,0.033333333
CALIFORNIA GULLY,-0.06944,0.035528942,-0.050693909,0.025177665
CRANBOURNE,-0.015330189,0.032432432,0.119109948,-0.105263158
ECHUCA,-0.042195185,0.053811659,-0.04751773,-0.043931497
BRAYBROOK,0.030816641,0.112745098,-0.201762115,-0.003863135
SPOTSWOOD,0.117808219,-0.10738255,0.142857143,0.021447368
TOORADIN,-0.050955414,0.034782609,-0.069166128,0.055555556
KEYSBOROUGH,-0.029220779,0.033653846,0.086511628,-0.04109589
MCKENZIE HILL,-0.083700441,0.009803922,-0.009708738,0.015686275
WERRIBEE,-0.028571429,0.06,-0.049615653,0.003676471
BERWICK,-0.025270758,-0.016666667,-0.065762712,0.052249637
KEILOR PARK,0.020408163,0.10427939,-0.048552339,-0.087078652
VERMONT,0.027286508,0.044560185,-0.058171745,-0.055882353
CROYDON NORTH,0.059472716,0,-0.061538462,0.036065574
GLADSTONE PARK,0.012461059,0.06277533,-0.067357513,-0.016666667
BONBEACH,0.008888889,0.200362374,-0.143396226,-0.033039648
HEIDELBERG WEST,-0.011492537,-0.141414141,-0.011764706,0.071428571
TONGALA,0.080786026,0.097906055,-0.164948454,-0.010987654
FOOTSCRAY,0.082720588,-0.126168224,0.101604278,-0.13592233
JUNCTION VILLAGE,0.180494263,-0.078431373,-0.063829787,0.159090909
ROCHESTER,-0.019230769,-0.002452182,-0.100294985,0.076502732
FLEMINGTON,-0.073181818,-0.020930233,0.01543943,0.099415205
KILLARA (WODONGA),-0.180952381,0.073162939,-0.059243823,-0.143924051
ST KILDA EAST,0.035737922,0.25,-0.492307692,0.545454545
TALLANGATTA,-0.087719298,-0.061403509,0.11152648,-0.097533632
ALTONA EAST,-0.05,-0.109859155,0.025316456,-0.111111111
SANDHURST,0.102484472,-0.053819444,-0.039908257,-0.166746297
BLACKBURN NORTH,0.177312213,0.917333333,-0.509735744,0.418439716
OUYEN,-0.332146037,-0.078191356,0.236585366,-0.287749288
BANDIANA,0.096712329,-0.02,0.238095238,-0.175824176
BELLFIELD (BANYULE),-0.111900533,-0.1,-0.004830918,-0.126213592
MARIBYRNONG,0.133004926,-0.075229358,-0.087301587,0.086956522
MALVERN,-0.035568926,-0.258278146,-0.052589286,0.083780982
NORTH MELBOURNE,0.160645657,-0.048951049,0.229411765,-0.227272727
MALVERN EAST,-0.022422751,-0.016274864,-0.080882353,-0.07
BURWOOD EAST,0.048341232,-0.058347176,-0.056229327,-0.011682243
BALWYN,0.003333333,-0.058823529,0.325,-0.137466307
SMITHS BEACH,-0.184931507,-0.074649299,0.090416892,0.032770606
KINGSVILLE,-0.159578947,0.056087038,-0.054174067,0.089201878
LOVELY BANKS,-0.195927602,0.185144124,-0.120673527,-0.10893617
BALLAN,-0.059436913,-0.135,0.14566474,-0.132189707
HEATHERTON,0.015228426,-0.03968254,-0.103305785,-0.062211982
VERMONT SOUTH,0.076923077,-0.040867389,-0.023043478,-0.007565643
DONVALE,-0.06692607,0.420454545,-0.3424,0.45377129
NERRINA,-0.362318841,0.135040745,0.175384615,-0.308900524
SOUTH KINGSVILLE,-0.061202186,0.156716418,-0.225806452,0.225
RAINBOW,-0.211764706,0.133128126,-0.286247878,-0.02188392
CREMORNE,0.092016807,-0.055714286,-0.15279879,0.160714286
MERBEIN,-0.07079646,0.007142857,-0.177304965,0.030172414
PEARCEDALE,0.011560694,1.105022831,-0.289587852,-0.198473282
PORT ALBERT,-0.281967213,0.090909091,-0.075,-0.041441441
BEVERIDGE,-0.113332259,-0.265217391,-0.038461538,0.061538462
PARKVILLE,0.142857143,0.12173913,-0.023410853,-0.01571678
BRIGHT,-0.206896552,0.641509434,-0.211494253,-0.297376093
LUCKNOW,-0.060283688,0.038969404,-0.142591445,0.033261027
BOX HILL,-0.074239714,-0.085185185,0.174089069,-0.118896552
BROOKLYN,-0.1,0.081690141,-0.097222222,-0.223461538
CHEWTON,0.121052632,-0.165428571,0.024192628,0.086685237
NIDDRIE,-0.08496732,0.486486486,-0.290909091,0.087179487
INGLEWOOD,-0.26,-0.068493151,-0.046470588,-0.012954966
KOO WEE RUP,-0.039473684,0.128571429,0,-0.33164557
WAHGUNYAH,0.114649682,0.018666667,-0.152486911,-0.096525097
GOWANBRAE,0.076040172,-0.009336768,-0.125771856,-0.226765799
CLIFTON HILL,0.2424,0.923076923,-0.04,-0.297222222
GREEN LAKE,-0.359605911,-0.223163842,-0.301818182,0.03125
KANIVA,0.477462437,-0.013888889,0.222535211,-0.00921659
ORBOST,-0.307692308,0.2,0.087777778,-0.295199183
CARRUM,-0.103192634,0.316120907,0.172248804,-0.134693878
DUNOLLY,-0.382101167,0.410477835,0.073469388,-0.030418251
ST KILDA WEST,-0.439677419,0.116389549,0.606382979,-0.275761589
ELMORE,-0.366917293,0,-0.076127125,0.1
WEDDERBURN,-0.192238806,0.09929078,0.184946237,-0.31215971
BIRREGURRA,-0.085998271,0.242149505,-0.206061485,0.094368341
SOUTH YARRA,-0.24088423,0.067477014,-0.139051095,-0.101314116
BOX HILL SOUTH,-0.010027769,-0.153225806,0.028571429,-0.011111111
CANTERBURY,-0.051407589,0.325,-0.132075472,-0.117391304
WYCHEPROOF,-0.196787149,0.179916318,0.054609929,-0.212777404
SELBY,-0.182626539,0.003831418,0.038167939,-0.106617647
CAROLINE SPRINGS,0.052419355,0.020230769,-0.068838121,0.016194332
DONCASTER,0.015625,0.164797239,-0.171111111,0.192135836
MOOROOPNA,-0.148733015,0.015384615,-0.007575758,-0.022900763
POINT COOK,-0.005051278,0.085416667,-0.226487524,0.321091811
BURWOOD,-0.116997792,0.059760956,-0.033834586,-0.060311284
HAMPTON EAST,0.016194332,-0.12962963,0.106382979,0.014423077
STRATHTULLOH,0,-0.010714286,0.040613718,-0.049436253
TARNEIT,-0.001782531,-0.100401606,0.017857143,0.087719298
WESTMEADOWS,-0.018757881,-0.084694705,-0.037341772,-0.017094017
