SUBURB,PERIOD,PRICE
CLAYTON SOUTH,Q3 2019,832000
DANDENONG,Q3 2019,600000
MERNDA,Q3 2019,555000
WARBURTON,Q3 2019,495000
ATTWOOD,Q3 2019,716000
SYNDAL,Q3 2019,1605000
FAWKNER,Q3 2019,690000
SOMERVILLE,Q3 2019,612500
STRATFORD,Q3 2019,336500
BANNOCKBURN,Q3 2019,555000
CHELTENHAM EAST,Q3 2019,935000
EAGLEMONT,Q3 2019,1799000
LEOPOLD,Q3 2019,520000
AVONDALE HEIGHTS,Q3 2019,800000
DIAMOND CREEK,Q3 2019,775000
WARRANWOOD,Q3 2019,997000
CALIFORNIA GULLY,Q3 2019,312500
CRANBOURNE,Q3 2019,508800
ECHUCA,Q3 2019,386300
BRAYBROOK,Q3 2019,649000
SPOTSWOOD,Q3 2019,912500
TOORADIN,Q3 2019,785000
KEYSBOROUGH,Q3 2019,770000
MCKENZIE HILL,Q3 2019,567500
WERRIBEE,Q3 2019,525000
BERWICK,Q3 2019,692500
KEILOR PARK,Q3 2019,735000
VERMONT,Q3 2019,989500
CROYDON NORTH,Q3 2019,815500
GLADSTONE PARK,Q3 2019,642000
BONBEACH,Q3 2019,900000
HEIDELBERG WEST,Q3 2019,670000
TONGALA,Q3 2019,229000
FOOTSCRAY,Q3 2019,816000
JUNCTION VILLAGE,Q3 2019,453200
ROCHESTER,Q3 2019,260000
FLEMINGTON,Q3 2019,1100000
KILLARA (WODONGA),Q3 2019,525000
ST KILDA EAST,Q3 2019,1511000
TALLANGATTA,Q3 2019,285000
ALTONA EAST,Q3 2019,900000
SANDHURST,Q3 2019,805000
BLACKBURN NORTH,Q3 2019,978500
OUYEN,Q3 2019,112300
BANDIANA,Q3 2019,365000
BELLFIELD (BANYULE),Q3 2019,844500
MARIBYRNONG,Q3 2019,1015000
MALVERN,Q3 2019,2825500
NORTH MELBOURNE,Q3 2019,1301000
MALVERN EAST,Q3 2019,1828500
BURWOOD EAST,Q3 2019,1055000
BALWYN,Q3 2019,2400000
SMITHS BEACH,Q3 2019,730000
KINGSVILLE,Q3 2019,1187500
LOVELY BANKS,Q3 2019,663000
BALLAN,Q3 2019,479500
HEATHERTON,Q3 2019,985000
VERMONT SOUTH,Q3 2019,1170000
DONVALE,Q3 2019,1285000
NERRINA,Q3 2019,690000
SOUTH KINGSVILLE,Q3 2019,915000
RAINBOW,Q3 2019,85000
CREMORNE,Q3 2019,1190000
MERBEIN,Q3 2019,226000
PEARCEDALE,Q3 2019,692000
PORT ALBERT,Q3 2019,305000
BEVERIDGE,Q3 2019,620300
PARKVILLE,Q3 2019,2012500
BRIGHT,Q3 2019,725000
LUCKNOW,Q3 2019,282000
BOX HILL,Q3 2019,1677000
BROOKLYN,Q3 2019,750000
CHEWTON,Q3 2019,475000
NIDDRIE,Q3 2019,1147500
INGLEWOOD,Q3 2019,250000
KOO WEE RUP,Q3 2019,570000
WAHGUNYAH,Q3 2019,314000
GOWANBRAE,Q3 2019,697000
CLIFTON HILL,Q3 2019,1250000
GREEN LAKE,Q3 2019,304500
KANIVA,Q3 2019,119800
ORBOST,Q3 2019,260000
CARRUM,Q3 2019,836300
DUNOLLY,Q3 2019,257000
ST KILDA WEST,Q3 2019,3100000
ELMORE,Q3 2019,332500
WEDDERBURN,Q3 2019,167500
BIRREGURRA,Q3 2019,462800
SOUTH YARRA,Q3 2019,2194000
BOX HILL SOUTH,Q3 2019,1296400
CANTERBURY,Q3 2019,3268000
WYCHEPROOF,Q3 2019,124500
SELBY,Q3 2019,731000
CAROLINE SPRINGS,Q3 2019,620000
DONCASTER,Q3 2019,1280000
MOOROOPNA,Q3 2019,272300
POINT COOK,Q3 2019,653300
BURWOOD,Q3 2019,1359000
HAMPTON EAST,Q3 2019,1235000
STRATHTULLOH,Q3 2019,540000
TARNEIT,Q3 2019,561000
WESTMEADOWS,Q3 2019,634400
SCORESBY,Q3 2019,765900
MITCHAM,Q3 2019,925000
NEW GISBORNE,Q3 2019,735000
WOLLERT,Q3 2019,585000
HAMLYN HEIGHTS,Q3 2019,550000
FOREST HILL,Q3 2019,990000
PLENTY,Q3 2019,1400000
THE BASIN,Q3 2019,752600
SURREY HILLS,Q3 2019,1931000
SEA LAKE,Q3 2019,135000
CAPE PATERSON,Q3 2019,560000
ST KILDA,Q3 2019,1467500
COBRAM,Q3 2019,302500
ARMADALE,Q3 2019,2610000
CAULFIELD NORTH,Q3 2019,2200000
LORNE,Q3 2019,1817500
CHELTENHAM NORTH,Q3 2019,1057500
BOOLARRA,Q3 2019,230000
OMEO,Q3 2019,305000
DUNKELD,Q3 2019,292500
BLACK HILL,Q3 2019,532500
ROCKBANK,Q3 2019,575000
SURF BEACH,Q3 2019,617500
CLAYTON NORTH,Q3 2019,1240000
ALBERT PARK,Q3 2019,2465000
WEST MELBOURNE,Q3 2019,1385000
STRATHMERTON,Q3 2019,277500
LAKE TYERS BEACH,Q3 2019,366300
THE PATCH,Q3 2019,655500
TEMPLESTOWE,Q3 2019,1400000
BURNSIDE HEIGHTS,Q3 2019,685000
COWES,Q3 2019,600000
HORSHAM,Q3 2019,269000
SKYE,Q3 2019,610000
MAIDSTONE,Q3 2019,745000
SORRENTO,Q3 2019,1485000
TRUGANINA,Q3 2019,590000
WEIR VIEWS,Q3 2019,486500
BOX HILL NORTH,Q3 2019,1222500
HARKNESS,Q3 2019,480000
PASCOE VALE SOUTH,Q3 2019,966800
MOUNT WAVERLEY,Q3 2019,1303000
EUMEMMERRING,Q3 2019,561500
LAKE BOGA,Q3 2019,239000
MIDDLE PARK,Q3 2019,2700000
HIGHETT,Q3 2019,1280000
LAKE WENDOUREE,Q3 2019,1000000
PORTSEA,Q3 2019,2300000
CASTERTON,Q3 2019,170000
CAULFIELD EAST,Q3 2019,1340000
TRAVANCORE,Q3 2019,1560000
INDENTED HEAD,Q3 2019,797500
GLEN HUNTLY,Q3 2019,1602000
SEASPRAY,Q3 2019,370000
MALLACOOTA,Q3 2019,512500
VIOLET TOWN,Q3 2019,342500
MONT ALBERT NORTH,Q3 2019,1417000
AIRPORT WEST,Q3 2019,810500
GRANTVILLE,Q3 2019,392500
KINGLAKE,Q3 2019,555000
LOWER PLENTY,Q3 2019,770000
CHELTENHAM,Q3 2019,1137000
PARK ORCHARDS,Q3 2019,1605000
BAYSWATER,Q3 2019,736000
EYNESBURY,Q3 2019,599500
YARRAVILLE,Q3 2019,1010000
PRINCES HILL,Q3 2019,2218500
FIVEWAYS,Q3 2019,957500
KEILOR EAST,Q3 2019,885000
KEW NORTH,Q3 2019,1897500
HEATHCOTE,Q3 2019,295500
KEALBA,Q3 2019,612000
ASHBURTON,Q3 2019,1760000
BENTLEIGH EAST,Q3 2019,1225000
MITCHELL PARK,Q3 2019,327500
JEERALANG NORTH,Q3 2019,185000
KILSYTH,Q3 2019,676300
KNOXFIELD,Q3 2019,846300
MOORABBIN,Q3 2019,1120000
WANDIN NORTH,Q3 2019,621000
GLENROWAN,Q3 2019,365000
YALLAMBIE,Q3 2019,861000
CLUNES,Q3 2019,310000
MOUNT MARTHA,Q3 2019,1316500
KALLISTA,Q3 2019,750000
MELTON,Q3 2019,397500
BURNSIDE,Q3 2019,620000
MOONEE PONDS,Q3 2019,1255000
WAURN PONDS,Q3 2019,685000
BALACLAVA,Q3 2019,1502500
RUPANYUP,Q3 2019,159000
BRUNSWICK EAST,Q3 2019,1192000
EASTWOOD,Q3 2019,440000
LENEVA,Q3 2019,452500
SAN REMO,Q3 2019,601000
MULGRAVE,Q3 2019,881000
OAK PARK,Q3 2019,947500
RIDDELLS CREEK,Q3 2019,757500
SEAHOLME,Q3 2019,1020000
PARKDALE,Q3 2019,1152500
TRARALGON EAST,Q3 2019,577500
CAULFIELD,Q3 2019,1830000
WANTIRNA,Q3 2019,951000
COONGULLA,Q3 2019,285000
SUNSHINE WEST,Q3 2019,645000
CLAYTON,Q3 2019,1082500
CRANBOURNE SOUTH,Q3 2019,625000
YARRAGON,Q3 2019,425000
BRUNSWICK,Q3 2019,1037500
EUREKA,Q3 2019,345000
BALLARAT NORTH,Q3 2019,400000
WANTIRNA SOUTH,Q3 2019,1012500
WINDSOR,Q3 2019,1350000
ALTONA,Q3 2019,887500
BUNDOORA,Q3 2019,754500
CAMBERWELL,Q3 2019,2169000
MOUNT MACEDON,Q3 2019,940000
BULLEEN,Q3 2019,1200000
IRYMPLE,Q3 2019,418000
OAKLEIGH EAST,Q3 2019,1026100
KEILOR,Q3 2019,865000
CORRYONG,Q3 2019,282500
HEYWOOD,Q3 2019,185500
ESSENDON,Q3 2019,1400000
MCKINNON,Q3 2019,1542500
ELTHAM,Q3 2019,937500
DONALD,Q3 2019,145000
WESTGARTH,Q3 2019,1765000
MORDIALLOC,Q3 2019,1090000
DARLEY,Q3 2019,520100
DERRIMUT,Q3 2019,671500
MOUNT CLEAR,Q3 2019,447500
ALTONA MEADOWS,Q3 2019,625000
ASHWOOD,Q3 2019,1210000
LANGWARRIN,Q3 2019,650000
NELSON,Q3 2019,200000
RINGWOOD,Q3 2019,845000
BARANDUDA,Q3 2019,409000
FRANKSTON NORTH,Q3 2019,427500
CRANBOURNE NORTH,Q3 2019,578200
CROYDON SOUTH,Q3 2019,688000
MILLGROVE,Q3 2019,405000
COBBLEBANK,Q3 2019,493000
TOOTGAROOK,Q3 2019,617500
TULLAMARINE,Q3 2019,618000
CARLTON NORTH,Q3 2019,1512500
KALKALLO,Q3 2019,547500
BEAUMARIS,Q3 2019,1680000
GOLDEN POINT (BALLARAT),Q3 2019,392500
NORTHCOTE,Q3 2019,1340000
CLYDE NORTH,Q3 2019,571000
RESERVOIR,Q3 2019,762500
WONTHAGGI,Q3 2019,369000
