Region,Locality,Period,Median Rent
Metropolitan,Inner Melbourne,Q1 2019,500
Metropolitan,Inner Eastern Melbourne,Q1 2019,460
Metropolitan,Southern Melbourne,Q1 2019,480
Metropolitan,Western Melbourne,Q1 2019,380
Metropolitan,North Western Melbourne,Q1 2019,410
Metropolitan,North Eastern Melbourne,Q1 2019,400
Metropolitan,Outer Eastern Melbourne,Q1 2019,400
Metropolitan,South Eastern Melbourne,Q1 2019,380
Metropolitan,Mornington Peninsula,Q1 2019,380
Regional,Barwon-South West,Q1 2019,360
Regional,Gippsland,Q1 2019,290
Regional,Goulburn-Ovens-Murray,Q1 2019,300
Regional,Loddon-Mallee,Q1 2019,310
Regional,Central Highlands-Wimmera,Q1 2019,310
Metropolitan,Inner Melbourne,Q2 2019,500
Metropolitan,Inner Eastern Melbourne,Q2 2019,470
Metropolitan,Southern Melbourne,Q2 2019,480
Metropolitan,Western Melbourne,Q2 2019,380
Metropolitan,North Western Melbourne,Q2 2019,400
Metropolitan,North Eastern Melbourne,Q2 2019,400
Metropolitan,Outer Eastern Melbourne,Q2 2019,410
Metropolitan,South Eastern Melbourne,Q2 2019,380
Metropolitan,Mornington Peninsula,Q2 2019,390
Regional,Barwon-South West,Q2 2019,365
Regional,Gippsland,Q2 2019,298
Regional,Goulburn-Ovens-Murray,Q2 2019,300
Regional,Loddon-Mallee,Q2 2019,305
Regional,Central Highlands-Wimmera,Q2 2019,300
Metropolitan,Inner Melbourne,Q3 2019,490
Metropolitan,Inner Eastern Melbourne,Q3 2019,470
Metropolitan,Southern Melbourne,Q3 2019,480
Metropolitan,Western Melbourne,Q3 2019,380
Metropolitan,North Western Melbourne,Q3 2019,400
Metropolitan,North Eastern Melbourne,Q3 2019,400
Metropolitan,Outer Eastern Melbourne,Q3 2019,410
Metropolitan,South Eastern Melbourne,Q3 2019,375
Metropolitan,Mornington Peninsula,Q3 2019,390
Regional,Barwon-South West,Q3 2019,360
Regional,Gippsland,Q3 2019,295
Regional,Goulburn-Ovens-Murray,Q3 2019,310
Regional,Loddon-Mallee,Q3 2019,310
Regional,Central Highlands-Wimmera,Q3 2019,310
Metropolitan,Inner Melbourne,Q4 2019,500
Metropolitan,Inner Eastern Melbourne,Q4 2019,475
Metropolitan,Southern Melbourne,Q4 2019,480
Metropolitan,Western Melbourne,Q4 2019,380
Metropolitan,North Western Melbourne,Q4 2019,400
Metropolitan,North Eastern Melbourne,Q4 2019,400
Metropolitan,Outer Eastern Melbourne,Q4 2019,420
Metropolitan,South Eastern Melbourne,Q4 2019,375
Metropolitan,Mornington Peninsula,Q4 2019,390
Regional,Barwon-South West,Q4 2019,370
Regional,Gippsland,Q4 2019,300
Regional,Goulburn-Ovens-Murray,Q4 2019,315
Regional,Loddon-Mallee,Q4 2019,320
Regional,Central Highlands-Wimmera,Q4 2019,320
Metropolitan,Inner Melbourne,Q1 2020,null
Metropolitan,Inner Eastern Melbourne,Q1 2020,null
Metropolitan,Southern Melbourne,Q1 2020,null
Metropolitan,Western Melbourne,Q1 2020,null
Metropolitan,North Western Melbourne,Q1 2020,null
Metropolitan,North Eastern Melbourne,Q1 2020,null
Metropolitan,Outer Eastern Melbourne,Q1 2020,null
Metropolitan,South Eastern Melbourne,Q1 2020,null
Metropolitan,Mornington Peninsula,Q1 2020,null
Regional,Barwon-South West,Q1 2020,null
Regional,Gippsland,Q1 2020,null
Regional,Goulburn-Ovens-Murray,Q1 2020,null
Regional,Loddon-Mallee,Q1 2020,null
Regional,Central Highlands-Wimmera,Q1 2020,null
Metropolitan,Inner Melbourne,Q2 2020,null
Metropolitan,Inner Eastern Melbourne,Q2 2020,null
Metropolitan,Southern Melbourne,Q2 2020,null
Metropolitan,Western Melbourne,Q2 2020,null
Metropolitan,North Western Melbourne,Q2 2020,null
Metropolitan,North Eastern Melbourne,Q2 2020,null
Metropolitan,Outer Eastern Melbourne,Q2 2020,null
Metropolitan,South Eastern Melbourne,Q2 2020,null
Metropolitan,Mornington Peninsula,Q2 2020,null
Regional,Barwon-South West,Q2 2020,null
Regional,Gippsland,Q2 2020,null
Regional,Goulburn-Ovens-Murray,Q2 2020,null
Regional,Loddon-Mallee,Q2 2020,null
Regional,Central Highlands-Wimmera,Q2 2020,null
Metropolitan,Inner Melbourne,Q3 2020,420
Metropolitan,Inner Eastern Melbourne,Q3 2020,450
Metropolitan,Southern Melbourne,Q3 2020,475
Metropolitan,Western Melbourne,Q3 2020,380
Metropolitan,North Western Melbourne,Q3 2020,400
Metropolitan,North Eastern Melbourne,Q3 2020,400
Metropolitan,Outer Eastern Melbourne,Q3 2020,420
Metropolitan,South Eastern Melbourne,Q3 2020,380
Metropolitan,Mornington Peninsula,Q3 2020,400
Regional,Barwon-South West,Q3 2020,380
Regional,Gippsland,Q3 2020,320
Regional,Goulburn-Ovens-Murray,Q3 2020,320
Regional,Loddon-Mallee,Q3 2020,330
Regional,Central Highlands-Wimmera,Q3 2020,320
Metropolitan,Inner Melbourne,Q4 2020,400
Metropolitan,Inner Eastern Melbourne,Q4 2020,450
Metropolitan,Southern Melbourne,Q4 2020,455
Metropolitan,Western Melbourne,Q4 2020,380
Metropolitan,North Western Melbourne,Q4 2020,400
Metropolitan,North Eastern Melbourne,Q4 2020,400
Metropolitan,Outer Eastern Melbourne,Q4 2020,420
Metropolitan,South Eastern Melbourne,Q4 2020,380
Metropolitan,Mornington Peninsula,Q4 2020,410
Regional,Barwon-South West,Q4 2020,385
Regional,Gippsland,Q4 2020,330
Regional,Goulburn-Ovens-Murray,Q4 2020,330
Regional,Loddon-Mallee,Q4 2020,345
Regional,Central Highlands-Wimmera,Q4 2020,340
Metropolitan,Inner Melbourne,Q1 2021,395
Metropolitan,Inner Eastern Melbourne,Q1 2021,440
Metropolitan,Southern Melbourne,Q1 2021,450
Metropolitan,Western Melbourne,Q1 2021,380
Metropolitan,North Western Melbourne,Q1 2021,400
Metropolitan,North Eastern Melbourne,Q1 2021,400
Metropolitan,Outer Eastern Melbourne,Q1 2021,420
Metropolitan,South Eastern Melbourne,Q1 2021,380
Metropolitan,Mornington Peninsula,Q1 2021,410
Regional,Barwon-South West,Q1 2021,395
Regional,Gippsland,Q1 2021,340
Regional,Goulburn-Ovens-Murray,Q1 2021,345
Regional,Loddon-Mallee,Q1 2021,350
Regional,Central Highlands-Wimmera,Q1 2021,340
